groupe_id,debut_semaine,numero_semaine,annee,mois,_conso_reelle,conso_semaine_1,conso_moyenne_4sem,tendance_ratio_accel,campagne_nb_30j,budget_quota_libre,budget_ratio_libre,saison_multiplicateur,saison_conso_historique_semaine,evenement_prochain_jours,jours_avant_zero_rythme_event,target_conso_7j,target_conso_14j,target_conso_30j
1,2022-12-26 00:00:00+01:00,52,2022,12,385.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,4.0,999.0,1852.0,3587.0,6815.0
1,2023-01-02 00:00:00+01:00,1,2023,1,1852.0,385.0,385.0,1.0,1,0.0,0.0,3.53,385.0,1.0,999.0,1735.0,3261.0,6329.0
1,2023-01-09 00:00:00+01:00,2,2023,1,1735.0,1852.0,1118.5,1.6558,1,6123.0,0.8564,3.53,1118.5,1.0,10.8555,1526.0,3228.0,6050.0
1,2023-01-16 00:00:00+01:00,3,2023,1,1526.0,1735.0,1324.0,1.3104,2,4388.0,0.6137,2.61,1324.0,1.0,8.8887,1702.0,3068.0,5981.0
1,2023-01-23 00:00:00+01:00,4,2023,1,1702.0,1526.0,1374.5,1.1102,2,2862.0,0.4003,2.61,1374.5,1.0,5.5845,1366.0,2822.0,5687.0
1,2023-01-30 00:00:00+01:00,5,2023,1,1366.0,1702.0,1703.75,0.999,3,1160.0,0.1622,2.5,1703.75,1.0,1.9064,1456.0,2913.0,5815.0
1,2023-02-06 00:00:00+01:00,6,2023,2,1456.0,1366.0,1582.25,0.8633,2,7150.0,0.5,2.66,1582.25,1.0,11.8918,1457.0,2865.0,6514.0
1,2023-02-13 00:00:00+01:00,7,2023,2,1457.0,1456.0,1512.5,0.9626,3,5694.0,0.3982,2.66,1512.5,1.0,9.9069,1408.0,2902.0,7778.0
1,2023-02-20 00:00:00+01:00,8,2023,2,1408.0,1457.0,1495.25,0.9744,2,4237.0,0.2963,2.56,1495.25,1.0,7.7482,1494.0,3649.0,8857.0
1,2023-02-27 00:00:00+01:00,9,2023,2,1494.0,1408.0,1421.75,0.9903,3,2829.0,0.1978,2.56,1421.75,1.0,5.4409,2155.0,4876.0,9743.0
1,2023-03-06 00:00:00+01:00,10,2023,3,2155.0,1494.0,1453.75,1.0277,2,8485.0,0.3956,2.79,1453.75,1.0,14.6439,2721.0,5208.0,10315.0
1,2023-03-13 00:00:00+01:00,11,2023,3,2721.0,2155.0,1628.5,1.3233,3,6330.0,0.2951,4.42,1628.5,1.0,6.1559,2487.0,4867.0,10219.0
1,2023-03-20 00:00:00+01:00,12,2023,3,2487.0,2721.0,1944.5,1.3993,2,3609.0,0.1683,4.5,1944.5,1.0,2.8871,2380.0,5107.0,10562.0
1,2023-03-27 00:00:00+01:00,13,2023,3,2380.0,2487.0,2214.25,1.1232,3,1122.0,0.0523,4.5,2214.25,1.0,0.7882,2727.0,5352.0,10049.0
1,2023-04-03 00:00:00+01:00,14,2023,4,2727.0,2380.0,2435.75,0.9771,2,0.0,0.0,5.03,2435.75,1.0,999.0,2625.0,5455.0,9095.0
